relative_path	label	source_name	stream_position	sha256
0000/86050619d171299f6c54.JPEG	0	n01440764_172_n01440764.JPEG	1521	86050619d171299f6c54bd03010beff562e3c4f61d68aebd8322d8398580cce6
0000/fa7cb292d2e1fa657b6e.JPEG	0	n01440764_1310_n01440764.JPEG	236	fa7cb292d2e1fa657b6e44f4a09a2f57fcdd40538853f8cbf2f456f5b3eda071
0001/01f3255268400b87cbe5.JPEG	1	n01443537_10086_n01443537.JPEG	923	01f3255268400b87cbe542e9ad0dc5daaa60da06b50e2ea02a6dadf0bc8ee243
0001/9efc2fe8cc033aeabfe2.JPEG	1	n01443537_23649_n01443537.JPEG	4237	9efc2fe8cc033aeabfe2c4ba91c92c40dbac2e48bf4233e0f9b43cc7227b0980
0002/2243bd96d9c67536d29a.JPEG	2	n01484850_5338_n01484850.JPEG	1608	2243bd96d9c67536d29ac541901735e12829fddb83c8089ad392a4d3c5f7d393
0002/db3fc75afe99d1bb976d.JPEG	2	n01484850_16532_n01484850.JPEG	3617	db3fc75afe99d1bb976d930ed71019db712b1ca001458b4aae5d1c47e38b6239
0003/23f70c2ed66330502541.JPEG	3	n01491361_3217_n01491361.JPEG	297	23f70c2ed66330502541407e696f591e029ddcc3510a29fb96d43fd7633fda52
0003/cdd4131e29d90f6e3934.JPEG	3	n01491361_527_n01491361.JPEG	5082	cdd4131e29d90f6e3934dfdbc3e1031ac833a9d0d5c87757dfbc22618219848e
0004/b8d4e89ead324a48ed14.JPEG	4	n01494475_4876_n01494475.JPEG	224	b8d4e89ead324a48ed14180d16c378d07bbecd65018f3291a2092e2e9c1e6586
0004/f5ab0921ded18f451338.JPEG	4	n01494475_4004_n01494475.JPEG	1327	f5ab0921ded18f45133867aa93b5d4615df56eb6e491f05ffca54c8ab24bca78
0005/719de71218bb6cb81475.JPEG	5	n01496331_12133_n01496331.JPEG	873	719de71218bb6cb8147572b44eaf1e6285e6f77de1d770f1014288750d25d095
0005/afb6963858e01b696608.JPEG	5	n01496331_25306_n01496331.JPEG	2392	afb6963858e01b696608a59240d0563b5410ae203d6fcc23a20456d90b60e0c4
0006/6ceff9fbba0eed712e33.JPEG	6	n01498041_2755_n01498041.JPEG	2748	6ceff9fbba0eed712e33ab2b97cbfcd8091849490f983adc025c7bd49dc680a0
0006/6e682eed4907d551be76.JPEG	6	n01498041_10700_n01498041.JPEG	118	6e682eed4907d551be76f96202c664a93148ff3d860c2d3dd34b3995fa8f918b
0007/0e7aee9364e82f35ac42.JPEG	7	n01514668_3150_n01514668.JPEG	3945	0e7aee9364e82f35ac42b484661dd8ca04a08f1af121ca7fcc79ab72575bf79c
0007/758bd30bbc2c580b5376.JPEG	7	n01514668_16422_n01514668.JPEG	2125	758bd30bbc2c580b5376a01a3d4c5bb04d1cd9aa1f53ee756aca4ed12049384e
0008/41c764ad89688b1868a4.JPEG	8	n01514859_10417_n01514859.JPEG	705	41c764ad89688b1868a4424be6b2bac8acde873bf3d605bcd0ef64a6d832f20f
0008/bb9523e812073a73a63b.JPEG	8	n01514859_10056_n01514859.JPEG	629	bb9523e812073a73a63bec9a7b8670ba4541b58e06118e2ac2c5a5b131ddd111
0009/13337bc988617dddfa06.JPEG	9	n01518878_40640_n01518878.JPEG	4895	13337bc988617dddfa06698d5de0ca232eee876b764b550025896c9237916402
0009/8f9df823f721b9465bf7.JPEG	9	n01518878_4166_n01518878.JPEG	4896	8f9df823f721b9465bf794e16622983297f88916d28525d3c4dce68a35091be6
0010/23a6c46c6aeca9c2f6f4.JPEG	10	n01530575_35294_n01530575.JPEG	2663	23a6c46c6aeca9c2f6f42d9389052ea469d2532e0c2fbd7c875795f628d76864
0010/71082d5d442064ea6811.JPEG	10	n01530575_9897_n01530575.JPEG	425	71082d5d442064ea68116762709b8446f161fde0058d60d106ff2afd12b52114
0011/c526ed684f3813113887.JPEG	11	n01531178_6708_n01531178.JPEG	1113	c526ed684f3813113887ab28b6b6572f651bbeb29e4de83dace7e0ea195b00c3
0011/f034eb8f69f4bfa26136.JPEG	11	n01531178_23828_n01531178.JPEG	4015	f034eb8f69f4bfa26136e8d198472b2e8bd404b6c2e65b76556e6a1d88ce91cd
0012/4b4aacd57867c143d0e5.JPEG	12	n01532829_14804_n01532829.JPEG	605	4b4aacd57867c143d0e52e012c9b32d483d6f6bfcc424e045c47d74a549d5a4b
0012/76e294a71f9bcae389d8.JPEG	12	n01532829_9218_n01532829.JPEG	356	76e294a71f9bcae389d85a9f66f1f3bdbba727fc6a76dc8ac5a689ca3f0cc010
0013/132dd462004a16cbde87.JPEG	13	n01534433_4910_n01534433.JPEG	3920	132dd462004a16cbde8733f618ad36081e789e9d7f68f73205851189a88a8636
0013/1f78b81daef5cf337e39.JPEG	13	n01534433_2450_n01534433.JPEG	430	1f78b81daef5cf337e3947700857aaf68ba791ec639fa0d266d459b66bb2e13d
0014/94e2bd606f040d7b96b2.JPEG	14	n01537544_17152_n01537544.JPEG	2870	94e2bd606f040d7b96b22b38cc6cf2ad39deaca494b51e28ad4202913c05ca55
0014/aefcc2f356b335c6b487.JPEG	14	n01537544_19776_n01537544.JPEG	3923	aefcc2f356b335c6b487fb6d56ad933207d0fbc91265f1362c4e616e6f9f6bc3
0015/56cd4dc482a873fc0ffa.JPEG	15	n01558993_3674_n01558993.JPEG	2280	56cd4dc482a873fc0ffafa591d44b11ca15ff672ecdd43c49930e848e5120e8e
0015/c547caaa754954aeb08d.JPEG	15	n01558993_8499_n01558993.JPEG	927	c547caaa754954aeb08dc2fe64915fc6b31ae528efd7129c058c607fc6210e01
0016/1bd9b59e77a2cb5bdb24.JPEG	16	n01560419_12120_n01560419.JPEG	1695	1bd9b59e77a2cb5bdb2491af7d1d43e0ded688705680b26be718cffb2bffcf34
0016/6dfd9569cd52e7e89483.JPEG	16	n01560419_11002_n01560419.JPEG	4626	6dfd9569cd52e7e894839beb6931160063f242c83a134e6cd7dd20cddea4d4b2
